,Description,URL,Ability Cost
738,"Put Gancanagh into the Break Zone: Choose 1 Forward. Deal it 8000 damage.
Damage 5 — Put Gancanagh into the Break Zone: Choose 1 Forward. Deal it 10000 damage. (If you have received 5 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/gancanagh,Put Gancanagh into the Break Zone
740,"Put Garganzola into the Break Zone: Choose 1 Forward. It gains +2000 power until the end of the turn.
Damage 5 — Put Garganzola into the Break Zone: Choose 1 Forward. It gains +5000 power until the end of the turn. (If you have received 5 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/garganzola,Put Garganzola into the Break Zone
744,"When Geomancer enters the field, reveal the top card of your deck. If it is a Fire card, add it to your hand.
[Dull], put Geomancer into the Break Zone: Choose 1 Forward. Deal it 2000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/geomancer-refia,"[Dull], put Geomancer into the Break Zone"
748,"Discard 1 card: Name 1 Element. Hein cannot be chosen by Summons or abilities of the named Element and doesn't receive any damage from Summons or abilities of the named Element this turn.
[(3)][Dull]: Choose up to 2 Characters. Dull them. You can only pay with Fire CP, Ice CP, or Lightning CP to use this ability.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/hein,Discard 1 card
752,"When Ignacio deals damage to your opponent or to a Forward, draw 1 card.
Discard 1 Fire card: Ignacio gains +2000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/ignacio,Discard 1 Fire card
756,"[Y][Dull]: Choose 1 Forward with Brave. During this turn, the next damage dealt to it is reduced by 2000 instead.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/joker,[Y][Dull]
760,"Haste
Kain doesn't receive any damage except battle damage.
Gungnir [S]: Until the end of turn, Kain gains +5000 power and First Strike.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/kain-starter,Gungnir [S]
766,"Put Kanna Kamuy into the Break Zone: Choose 1 Forward. It loses 7000 power until the end of the turn.
Damage 5 — Put Kanna Kamuy into the Break Zone: Choose 1 Forward. It loses 9000 power until the end of the turn. (If you have received 5 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/kanna-kamuy,Put Kanna Kamuy into the Break Zone
770,"[L][Dull], put Khalia Chival into the Break Zone: Choose 1 Category TYPE-0 card in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/khalia-chival,"[L][Dull], put Khalia Chival into the Break Zone"
778,"When a Card Name Vaan enters your field, you may pay [G][G]. When you do so, play Kytes onto the field. This effect will trigger only if Kytes is in the Break Zone.
Put Kytes into the Break Zone: Choose 1 Job Sky Pirate. It gains +3000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/kytes,Put Kytes into the Break Zone
786,"When Lightning enters the field, you may search for up to 2 Card Name Odin and add them to your hand.
[P][Dull], 2 Card Name Odin in the Break Zone from the game: Choose 1 Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/lightning,"[P][Dull], 2 Card Name Odin in the Break Zone from the game"
788,"During this turn, if you attacked with 2 or more Forwards you controlled, the cost for playing Lightning on to the field is reduced by 3.
Crushing Blow [S][Dull]: Choose up to 2 Forwards. Dull them. Draw 1 card.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/lightning-starter,Crushing Blow [S][Dull]
798,"[Y][Dull], put Miotsk into the Break Zone: Choose 1 Forward. It gains +2000 power until the end of the turn.
[Y][Dull], put Miotsk into the Break Zone: Choose 1 Category TYPE-0 Forward. It gains +4000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/miotsk,"[Y][Dull], put Miotsk into the Break Zone"
806,Dull 1 active Card Name Monk: Monk gains +1000 power until the end of the turn.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/monk,Dull 1 active Card Name Monk
828,"When Onion Knight deals damage to your opponent, you may search for 1 Card Name Onion Knight and add it to your hand.
Blade Torrent [S]: Until the end of turn, Onion Knight gains +1000 power, Haste, First Strike and Brave.
Meteor [S][Dull]: Choose 1 Forward. Deal it damage equal to Onion Knight's power.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/onion-knight-starter,Blade Torrent [S]
830,"Damage 3 — [Dull]: Deal 1000 damage to all the Forwards opponent controls. (If you have received 3 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/penelo,Damage 3 — [Dull]
834,"If you control a Forward of power 9000 or more other than Prishe, Prishe gains +3000 power.
When Prishe enters the field, each player may search for 1 Forward of power 9000 or more and add it to his/her hand.
Asuran Fists [S][Y][Y][Y][Dull]: Choose 1 Forward. Deal it 9000 damage. Activate Prishe.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/prishe,Asuran Fists [S][Y][Y][Y][Dull]
844,"When Ramza enters the field, reveal the top 3 cards of your deck. Add 1 Forward, 1 Backup, and 1 Summon among them to your hand, and put the rest of the cards into the Break Zone.
[P][(1)], put Ramza into the Break Zone: Choose 1 Monster. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/ramza-starter,"[P][(1)], put Ramza into the Break Zone"
848,"[Dull], put Ranger into the Break Zone: Choose 1 Backup of cost 3 or more. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/ranger,"[Dull], put Ranger into the Break Zone"
870,"First Strike
When SOLDIER: 3rd Class enters the field, you may search for 1 Card Name SOLDIER: 3rd Class and add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/soldier-3rd-class,"When SOLDIER: 3rd Class enters the field, you may search for 1 Card Name SOLDIER"
880,"Back Attack
When Sephiroth enters the field, choose 1 Forward. Dull it.
Damage 5 — Sephiroth gains +2000 power.
Draw Slash [S]: Until the end of the turn, Sephiroth gains +1000 power and First Strike.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/sephiroth,Draw Slash [S]
882,"[Dull], put 1 Card Name Mog (XIII-2) into the Break Zone: Choose up to 2 Forwards. Dull them.
[I][Dull]: Choose 1 Card Name Mog (XIII-2) in your Break Zone. Play it onto the field.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/serah,"[Dull], put 1 Card Name Mog (XIII-2) into the Break Zone"
912,"The Category X Forwards other than Tidus you control gain +1000 power.
When Tidus enters the field, you may return 1 Backup you control to its owner's hand. When you do so, choose 1 Forward. Return it to its owner's hand.
Quick Hit [S]: Activate Tidus. Tidus gains +2000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/tidus,Quick Hit [S]
920,"Put Unsaganashi into the Break Zone: Choose 1 Forward you control. It cannot be chosen by your opponent's Summons or abilities this turn.
Damage 5 — Put Unsaganashi into the Break Zone: Activate all the Forwards you control. They cannot be chosen by your opponent's Summons or abilities this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/unsaganashi,Put Unsaganashi into the Break Zone
934,"[U][U][Dull], put White Mage into the Break Zone: Choose 1 Water Summon in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/white-mage,"[U][U][Dull], put White Mage into the Break Zone"
936,"If you control a Category TYPE-0 Character other than White Tiger l'Cie Qun'mi, White Tiger l'Cie Qun'mi gains +2000 power.
Put White Tiger l'Cie Qun'mi into the Break Zone: Choose 1 Summon. If your opponent doesn't pay (3), cancel its effect.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/white-tiger-lcie-qunmi,Put White Tiger l'Cie Qun'mi into the Break Zone
942,Put Y'shtola into the Break Zone: Choose 1 Summon or ability choosing a Backup you control. Cancel its effect. Draw 1 card.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/yshtola,Put Y'shtola into the Break Zone
948,"[Dull], put Zaidou into the Break Zone: Choose 1 Forward. It gains First Strike until the end of the turn.
[Dull], put Zaidou into the Break Zone: Choose 1 Category TYPE-0 Forward. Until the end of the turn, it gains Haste and First Strike.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/zaidou,"[Dull], put Zaidou into the Break Zone"
986,"You can only pay with CP produced by Fire Backups to play Bergan from your hand onto the field.
When Bergan blocks or is blocked, deal 7000 damage to the Forward that blocks or is blocked by Bergan.
[1][R]: Choose 1 Forward. Deal it 1000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/bergan,[1][R]
992,"If you control 2 or more Category IV Forwards other than Cecil, Cecil gains +2000 power and Brave.
[(0)]: Choose 1 Forward you control other than Cecil. During this turn, the next time this Forward would take damage, reduce it by 4000 instead and deal Cecil 4000 damage. You can only use this ability once per turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/cecil,[(0)]
1004,"When Cid Garlond enters the field, reveal the top 4 cards of your deck. Add 1 Earth Character among them to your hand and return the other cards to the bottom of your deck in any order.
[Y][Dull], put Cid Garlond into the Break Zone: Choose 1 Category XIV Character in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/cid-garlond,"[Y][Dull], put Cid Garlond into the Break Zone"
1006,"[P][Dull], discard 1 Category FFTA2 Forward, put Cid of Clan Gully into the Break Zone: Choose 1 active Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/cid-of-clan-gully,"[P][Dull], discard 1 Category FFTA2 Forward, put Cid of Clan Gully into the Break Zone"
1038,"When Emperor Gestahl enters the field, choose 1 Forward opponent controls. Break it.
[Dull], put Emperor Gestahl into the Break Zone: Play 1 Dark Forward of cost 5 or less from your hand onto the field. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/emperor-gestahl,"[Dull], put Emperor Gestahl into the Break Zone"
1044,"If you control a Card Name Balthier Forward, the cost for playing Fran onto the field is reduced by 1.
When Fran enters the field, choose 1 Forward opponent controls. Deal it 3000 damage.
[G][G][Dull], put Fran into the Break Zone: Choose 1 Forward. Deal it 6000 damage.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/fran,"[G][G][Dull], put Fran into the Break Zone"
1062,"When a Category VI Forward enters your field, you may pay [I][I]. When you do so, play Ghost onto the field. This effect will trigger only if Ghost is in the Break Zone.
Possess [S][I][I][(2)]: Choose 1 Forward. Remove it and Ghost from the game.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ghost,Possess [S][I][I][(2)]
1070,"[P][Dull]: Reveal the top card of your deck. If it is a Forward, play it onto the field. You can only use this ability during your turn.
Double Meteor [S][P][P]: Choose 1 Forward. Deal it 9000 damage. You may discard 1 Card Name Golbez. If you do so, use this special ability again without paying the cost.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/golbez,[P][Dull]
1074,"If a Forward opponent controlled was put from the field into the Break Zone this turn, the cost required to play Heretical Knight Garland onto the field is reduced by 3.
[Y][Y][(4)]: Until the end of the turn, Heretical Knight Garland gains ""When Heretical Knight Garland attacks, deal 6000 damage to all the Forwards opponent controls."" ",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/heretical-knight-garland,[Y][Y][(4)]
1080,"When Hurdy enters the field, reveal the top card of your deck. If it is a Character, add it to your hand.
[Dull], put Hurdy into the Break Zone: Choose 1 Category FFTA2 Forward in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/hurdy,"[Dull], put Hurdy into the Break Zone"
1084,"[Dull], put Iedolas into the Break Zone: Choose 1 Summon of cost 4 or less in your Break Zone. Cast it without paying the cost. Remove that Summon from the game after use instead of putting it in the Break Zone.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/iedolas,"[Dull], put Iedolas into the Break Zone"
1094,"[U][Dull], put King of Concordia into the Break Zone: Choose 1 Forward you control. It gains +2000 power until the end of the turn. At the end of the turn, return it to its owner's hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/king-of-concordia,"[U][Dull], put King of Concordia into the Break Zone"
1110,"When Livia enters the field, if the cost to play Livia didn't include CP of 3 or more different Elements, put Livia into the Break Zone.
(1): Livia gains Brave until the end of the turn.
(3): Break the Forward that blocks Livia.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/livia,(1)
1132,"When Mog (VI) enters the field, draw 2 cards.
When Mog (VI) leaves the field, discard 2 cards from your hand.
Dusk Requiem [S][I][I][Dull]: Choose 1 Forward. Reveal the top card of your deck. If the revealed card's CP cost is an even number, return chosen Forward to its owner's hand. Add the revealed card to your hand. If the revealed card's CP cost is an odd number, deal the chosen Forward 4000 damage, dull it and Freeze it. Add the revealed card to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/mog-vi,Dusk Requiem [S][I][I][Dull]
1136,"When Nael enters the field, reveal the top 3 cards of your deck. Add up to 2 Forwards among them to your hand and put the rest of the cards into the Break Zone.
Remove 1 Backup from the game: Until the end of the turn, Nael gains +2000 power and Haste.
Remove 2 Backups from the game: Choose 1 Forward. Deal it 8000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nael,Remove 1 Backup from the game
1164,"You must control a Category XIV Forward to play Rhitahtyn from your hand onto the field.
Brave
Magitek Missile [S][Dull]: Choose 1 Forward. At the end of this turn, if you control Rhitahtyn, deal it 10000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rhitahtyn,Magitek Missile [S][Dull]
1170,"If a Forward you control is dealt damage, reduce the damage by 1000 instead.
When Rosa forms a party and attacks, activate Rosa. Rosa can attack once more this turn.
Pray [S]: Reveal the top card of your deck. If it is a Water card, activate all the Forwards you control.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rosa,Pray [S]
1172,"When Rydia enters the field, look at the top 5 cards of your deck. Reveal 1 Summon other than Light and Dark among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.
[(X)][Dull]: Look at the top X cards of your deck. Reveal 1 Summon of cost X or less among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rydia,[(X)][Dull]
1186,"[R][Dull], put Shadow into the Break Zone: Choose 1 Forward. Deal it 8000 damage. You can only use this ability if a Forward you controlled has been put from the field into the Break Zone this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/shadow,"[R][Dull], put Shadow into the Break Zone"
1200,"When Ultimecia enters the field, each player reveals the top card of his/her deck. Each player who revealed a Character may play it onto the field.
[U][U][(2)][Dull], put Ultimecia into the Break Zone: Choose 1 Forward. Put it on the top of its owner's deck.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ultimecia,"[U][U][(2)][Dull], put Ultimecia into the Break Zone"
1206,"When Varis enters the field, if the cost to play Varis was paid with CP of exactly 3 different Elements, you may search for 1 card and add it to your hand.
[(2)][Dull], put Varis into the Break Zone: Choose 1 Category XIV Forward in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/varis,"[(2)][Dull], put Varis into the Break Zone"
1212,"When Vincent enters the field, you may put 1 Backup you control into the Break Zone. When you do so, choose 1 dull Forward. Deal it 8000 damage.
Zoom [S][Y][(1)][Dull]: Choose 1 Backup of cost 3 or more.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vincent,Zoom [S][Y][(1)][Dull]
1248,"[G][G][Dull], put Archer into the Break Zone: Choose 1 Forward. Deal it 10000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/archer,"[G][G][Dull], put Archer into the Break Zone"
1260,"Ark Angel MR cannot be blocked by a Forward of power 7000 or more.
[G][G]: Ark Angel MR cannot be chosen by your opponent's Summons or abilities this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/ark-angel-mr,[G][G]
1268,"[Dull], put Bard into the Break Zone: Choose 1 Forward. Freeze it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/bard,"[Dull], put Bard into the Break Zone"
1272,"When Basilisk enters the field, choose 1 Forward. Deal it 4000 damage.
Put Basilisk into the Break Zone: Choose 1 damaged Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/basilisk,Put Basilisk into the Break Zone
1274,"[R][R][Dull], put Black Mage into the Break Zone: Choose 1 Fire Summon in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/black-mage-ffta,"[R][R][Dull], put Black Mage into the Break Zone"
1278,"[P][P][Dull], put Black Mage into the Break Zone: Choose 1 Lightning Summon in your Break Zone. Add it to your hand.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/black-mage-xiv,"[P][P][Dull], put Black Mage into the Break Zone"
1288,"When Cid Highwind enters the field, choose 1 Backup of cost 3 or more opponent controls. Return it to its owner's hand.
Big Brawl [S][Dull]: Choose 1 Character opponent controls. Return it to its owner's hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/cid-highwind,Big Brawl [S][Dull]
1298,"[Y][(1)][Dull], put Dark Knight into the Break Zone: Choose 1 Forward. Until the end of the turn, it gains +1000 power for each point of damage you have received.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/dark-knight,"[Y][(1)][Dull], put Dark Knight into the Break Zone"
1310,"You may use Duncan's special ability by discarding a Card Name Sabin instead of discarding a Card Name Duncan as part of the cost.
When Duncan enters the field, choose 1 Forward of cost 4 or less opponent controls. Deal it 4000 damage.
Phantom Rush [S][Dull]: Choose 1 Forward. Deal it damage equal to Duncan's power.

",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/duncan,Phantom Rush [S][Dull]
1316,"When Electric Jellyfish enters the field, choose 1 Forward. It gains Haste until the end of the turn. 
Put Electric Jellyfish into the Break Zone: Choose 1 Forward. Dull it.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/electric-jellyfish,Put Electric Jellyfish into the Break Zone
1336,"You can only pay with Earth CP to play Gladiolus onto the field.
If you control Card Name Noctis, the cost for playing Gladiolus onto the field is reduced by 2.
Cyclone [S][Y][Y][(2)][Dull]: Deal 7000 damage to all the Forwards opponent controls.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/gladiolus,Cyclone [S][Y][Y][(2)][Dull]
1342,"When Golem enters the field, choose 1 Forward. It gains +2000 power until the end of the the turn.
Put Golem into the Break Zone: Choose 1 attacking Forward. It gains +4000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/golem,Put Golem into the Break Zone
1366,"When Lancer Unit enters the field, choose 1 Forward. Dull it or Freeze it.
Put Lancer Unit into the Break Zone: Your opponent discards 1 card from his/her hand. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/lancer-unit,Put Lancer Unit into the Break Zone
1372,"[Dull], put Layle into the Break Zone: Choose 1 Summon of cost 4 or less. Cancle its effect.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/layle,"[Dull], put Layle into the Break Zone"
1378,"When Lid enters the field, choose 1 Lightning Character in your Break Zone. Add it to your hand.
[Dull], discard 3 cards: Choose 1 active Forward. Deal it 8000 damage.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/lid,"[Dull], discard 3 cards"
1382,"When Luminous Puma enters the field, choose 1 Forward in your Break Zone. Add it to your hand.
Put Luminous Puma into the Break Zone: Choose 1 Forward or Backup in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/luminous-puma,Put Luminous Puma into the Break Zone
1386,"You cannot play Lyse or Card Name Yda while already in control of either Character.
The Forwards other than Lyse you control gain +1000 power. If you have received 5 points of damage or more, the Forwards you control gain +2000 power instead.
Dragon Kick [S][Dull]: Choose 1 Forward. Deal it 8000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/lyse,Dragon Kick [S][Dull]
1402,"[Dull], put Monk into the Break Zone: Choose 1 Forward. Until the end of the turn, it gains +3000 power and Brave. You can only use this ability during your Main Phase.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/monk,"[Dull], put Monk into the Break Zone"
1406,"If you control a Job Warrior of Darkness othen than Nacht, Nacht gains +1000 power and Brave.
[X][X]: Choose 1 Forward or Monster. If its cost is X, break it. You can only use this ability during your turn and only once per turn.
Ebony Slash: [S][Y][Y]: Choose 1 Forward. Deal it 8000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/nacht,[X][X]
1408,"When Nichol enters the field, choose up to 2 Forwards opponent controls. They lose 1000 power for each Water Backup you control until the end of the turn.
[U][Dull]: All the Water Forwards you control gain +1000 power until the end of the turn.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/nichol,[U][Dull]
1410,"[U][Dull], put Ninja into the Break Zone: Choose 1 Forward opponent controls. Activate it and gain control of it until the end of the turn.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/ninja-ffta,"[U][Dull], put Ninja into the Break Zone"
1412,"[G][G][Dull], put Ninja into the Break Zone: Choose 1 Backup of cost 3 or less. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/ninja-xiv,"[G][G][Dull], put Ninja into the Break Zone"
1422,"[U][Dull], put Paladin into the Break Zone: Choose 1 Forward you control and 1 other Forward you control. During this turn, the next damage dealt to the former is received by the latter instead.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/paladin,"[U][Dull], put Paladin into the Break Zone"
1428,"Remove the top 5 cards of your deck from the game: Until the end of the turn, Quina gains +2000 power and Quina cannot be chosen by your opponent's abilities. You can only use this ability once per turn.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/quina,Remove the top 5 cards of your deck from the game
1432,"When Rain attacks, until the end of the turn, all the Forwards you control gain +2000 power and all the Forwards opponent controls lose 2000 power.
Leadership [S]: All the Forwards you control gain Haste until the end of the turn.
Undermine [S][(2)]: All the Forwards opponent controls lose 4000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/rain-legend,Leadership [S]
1444,"[Dull], put Reno into the Break Zone: Choose 1 active Forward. Deal it 3000 damage.
Turk Light [S][Dull]: Choose 1 Forward. Dull it.

",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/reno,"[Dull], put Reno into the Break Zone"
1452,"When Sakura enters the field, choose 1 active Forward opponent controls. Deal it 8000 damage.
Dull 5 active Lightning Backups: Choose 1 Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/sakura,Dull 5 active Lightning Backups
1458,"[Dull], put Scholar into the Break Zone: Reveal the top card of your deck. If it is an Ice card, add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/scholar,"[Dull], put Scholar into the Break Zone"
1474,"[Dull], put Sophia into the Break Zone: Dull all the Forwards with Haste, First Strike or Brave opponent controls.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/sophia,"[Dull], put Sophia into the Break Zone"
1476,"When Squall enters the field, if your opponent controls any dull Forwards, your opponent discards 1 card from his/her hand.
[U][U][1]: Choose 1 Forward. Dull it. You can only use this ability if you have no cards in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/squall,[U][U][1]
1480,"[U][Dull], put Strago into the Break Zone: Choose 1 Card Name Relm of cost 2 or less in your Break Zone. Play it onto the field. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/strago,"[U][Dull], put Strago into the Break Zone"
1490,"If you control a Card Name Cloud Forward, the cost for playing Tifa onto the field is reduced by 2.
Brave
Final Heaven [S][Y][Dull]: Choose 1 dull Forward. Deal it 10000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/tifa,Final Heaven [S][Y][Dull]
1498,"When Undead Princess enters the field, choose 1 Forward. If your opponent doesn't pay 3, it cannot attack or block this turn.
Put 2 Earth Backups into the Break Zone: Play Undead Princess onto the field dull. You can only use this ability if Undead Princess is in the Break Zone.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/undead-princess,Put 2 Earth Backups into the Break Zone
1506,"When Waltrill enters the field, place up to 2 cards from your hand at the bottom of your deck in any order. Then, draw the same number of cards as were returned to your deck.
[Dull], put Waltrill into the Break Zone: Draw 1 card, then place 1 card from your hand at the bottom of your deck. You can only use this ability if you control Card Name Norschtalen.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/waltrill,"[Dull], put Waltrill into the Break Zone"
1512,"When Whale Zombie enters the field, draw 1 card.
Put Whale Zombie into the Break Zone: Look at the top 2 cards of your deck. Return these to the top and/or bottom of your deck in any order.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/whale-zombie,Put Whale Zombie into the Break Zone
1514,"[U][Dull], put White Mage into the Break Zone: Activate all the Forwards you control.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/white-mage,"[U][Dull], put White Mage into the Break Zone"
1516,[R][Dull]: Choose 1 Forward of cost 5 or less. It cannot block this turn.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/yotsuyu,[R][Dull]
1522,"If your opponent doesn't control Forwards, Yugiri gains Haste.
[L][L][(2)]: Break the Forward that blocks Yugiri.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/yugiri,[L][L][(2)]
1526,"If you have 6 or more cards in your hand, Zidane cannot be blocked.
When Zidane deals damage to your opponent, draw 2 cards.
Solution 9 [S][U][U]: Choose 1 Forward. Until the end of the turn, it loses 2000 power for each card in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-viii/zidane,Solution 9 [S][U][U]
1542,"The Category X Forwards you control gain Brave.
Dull: Choose 1 blocking Forward. It gains +1000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/auron,Dull
1548,"The Job Dragoon and Card Name Dragoon you control gain Haste.
[(1)]: Choose 1 Job Dragoon or Card Name Dragoon other than Barbara. It gains +1000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/barbara,[(1)]
1552,"When Bartholomew entesr the field, you may pay 1 Card Name Hope from your hand onto the field. 
[G][G][Dull], put Bartholomew into the Break Zone: Choose 1 Forward. Activate it. It gains +1000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/bartholomew,"[G][G][Dull], put Bartholomew into the Break Zone"
1554,"When Bartz enters the field, choose up to 2 Category V Characters. Activate them.
Spellblade [S]: Choose 1 Forward. Deal it 5000 damage.
Dual-Wield [S]: Until the end of the turn, Bartz gains First Strike and Bartz's power becomes 10000.
Rapid Fire [S]: Until the end of turn, Bartz gains Haste, Brave and ""Bartz can attack 3 times this turn"". You can only use this ability if Bartz used Spellblade and Dual-Wield this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/bartz,Spellblade [S]
1556,"When Baugauven enters the field, choose 1 Forward opponent controls. If the cost to play Baugauven was only paid with Fire CP, deal it 7000 damage.
Final Backdraft [S][R][R][Dull]: Choose 1 Forward of any Element except Fire. Deal it 10000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/baugauven,Final Backdraft [S][R][R][Dull]
1560,"[R][Dull], put Black Mage into the Break Zone: Choose 1 Forward. Deal it 4000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/black-mage-7-007c,"[R][Dull], put Black Mage into the Break Zone"
1564,[I][Dull]: Choose 1 Dull Forward. Deal it 2000 damage.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-vii/black-mage-7-028c,[I][Dull]
