Card Material,Card Type,Category,Cost,Description,Element,Job,Median,Name,Number,Power,Rarity,TCG,URL,set
Normal,Forward,XII,3,"When Moogle (XII) attacks or blocks, look at the top 3 cards of your deck. Return these to the top and/or bottom of your deck in any order.",Water,Standard Unit,0.16,Moogle (XII),9-116R,7000,Rare,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/moogle-xii,Opus IX
Foil,Forward,XII,3,"When Moogle (XII) attacks or blocks, look at the top 3 cards of your deck. Return these to the top and/or bottom of your deck in any order.",Water,Standard Unit,0.50,Moogle (XII),9-116R,7000,Rare,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/moogle-xii,Opus IX
Normal,Forward,XIV,6,"When Nael enters the field, reveal the top 3 cards of your deck. Add up to 2 Forwards among them to your hand and put the rest of the cards into the Break Zone.
Remove 1 Backup from the game: Until the end of the turn, Nael gains +2000 power and Haste.
Remove 2 Backups from the game: Choose 1 Forward. Deal it 8000 damage.",Fire,General,1.63,Nael,9-014L,9000,Legend,1.61,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nael,Opus IX
Foil,Forward,XIV,6,"When Nael enters the field, reveal the top 3 cards of your deck. Add up to 2 Forwards among them to your hand and put the rest of the cards into the Break Zone.
Remove 1 Backup from the game: Until the end of the turn, Nael gains +2000 power and Haste.
Remove 2 Backups from the game: Choose 1 Forward. Deal it 8000 damage.",Fire,General,2.45,Nael,9-014L,9000,Legend,2.25,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nael,Opus IX
Normal,Forward,XIV,3,"When Nero (XIV) enters the field, if you control a Forward of any Element other than Lightning, until the end of the turn, Nero (XIV) gains +2000 power, Haste and Brave.",Lightning,Chief of Staff,0.26,Nero (XIV),9-091H,7000,Hero,0.27,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nero-xiv,Opus IX
Foil,Forward,XIV,3,"When Nero (XIV) enters the field, if you control a Forward of any Element other than Lightning, until the end of the turn, Nero (XIV) gains +2000 power, Haste and Brave.",Lightning,Chief of Staff,0.35,Nero (XIV),9-091H,7000,Hero,0.43,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nero-xiv,Opus IX
Normal,Backup,XII,2,"When Nu Mou enters the field, you may pay [I]. When you do so, choose 1 Forward or Monster. Dull it and Freeze it.",Ice,Standard Unit,0.12,Nu Mou,9-040C,,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nu-mou,Opus IX
Foil,Backup,XII,2,"When Nu Mou enters the field, you may pay [I]. When you do so, choose 1 Forward or Monster. Dull it and Freeze it.",Ice,Standard Unit,0.30,Nu Mou,9-040C,,Common,0.36,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/nu-mou,Opus IX
Normal,Summon,DFF,3,EX BURST Choose 1 Forward of cost 2 or less. Break it. Draw 1 card.,Lightning,,0.15,Odin EX,9-083C,,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/odin-ex,Opus IX
Foil,Summon,DFF,3,EX BURST Choose 1 Forward of cost 2 or less. Break it. Draw 1 card.,Lightning,,0.50,Odin EX,9-083C,,Common,0.41,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/odin-ex,Opus IX
Normal,Backup,FFTA2,4,"When Paladin enters the field, select 1 of the 2 following actions.
""Choose 1 Job Standard Unit in your Break Zone. Add it to your hand.""
""Until the end of the turn, all the Forwards you control gain +1000 power and Brave.""",Water,Standard Unit,0.12,Paladin,9-112C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/paladin,Opus IX
Foil,Backup,FFTA2,4,"When Paladin enters the field, select 1 of the 2 following actions.
""Choose 1 Job Standard Unit in your Break Zone. Add it to your hand.""
""Until the end of the turn, all the Forwards you control gain +1000 power and Brave.""",Water,Standard Unit,0.30,Paladin,9-112C,,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/paladin,Opus IX
Normal,Backup,XII DFF,4,"When Penelo enters the field, you may search for 1 Job Sky Pirate and add it to your hand.
[G][Dull]: Choose 1 Job Sky Pirate Forward you control. It gains +1000 power until the end of the turn.",Wind,Dancer,0.14,Penelo,9-054C,,Common,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/penelo,Opus IX
Foil,Backup,XII DFF,4,"When Penelo enters the field, you may search for 1 Job Sky Pirate and add it to your hand.
[G][Dull]: Choose 1 Job Sky Pirate Forward you control. It gains +1000 power until the end of the turn.",Wind,Dancer,0.44,Penelo,9-054C,,Common,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/penelo,Opus IX
Normal,Forward,IV Pictlogica,2,"EX BURST When Porom is put from the field into the Break Zone, choose 1 Summon in your Break Zone. Add it to your hand.",Water,White Mage,0.28,Porom EX,9-115R,2000,Rare,0.33,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/porom-ex,Opus IX
Foil,Forward,IV Pictlogica,2,"EX BURST When Porom is put from the field into the Break Zone, choose 1 Summon in your Break Zone. Add it to your hand.",Water,White Mage,5.21,Porom EX,9-115R,2000,Rare,4.87,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/porom-ex,Opus IX
Normal,Forward,IV,3,"If your opponent doesn't control any Forwards, Queen of Eblan cannot attack.
When Queen of Eblan forms a party with Card Name King of Eblan and attacks, choose 1 Forward opponent controls. Deal it 5000 damage.",Fire,Queen of Eblan,0.25,Queen of Eblan,9-006H,7000,Hero,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/queen-of-eblan,Opus IX
Foil,Forward,IV,3,"If your opponent doesn't control any Forwards, Queen of Eblan cannot attack.
When Queen of Eblan forms a party with Card Name King of Eblan and attacks, choose 1 Forward opponent controls. Deal it 5000 damage.",Fire,Queen of Eblan,0.38,Queen of Eblan,9-006H,7000,Hero,0.22,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/queen-of-eblan,Opus IX
Normal,Forward,VIII,4,"EX BURST When Quistis enters the field, reveal the top 5 cards of your deck. Add 1 Category VIII Forward among them to your hand and return the other cards to the bottom of your deck in any order.
LV? Death [S][I][Dull]: Reveal the top card of your deck. Break all Forwards opponent controls with the same cost as the revealed card. Add the revealed card to your hand.",Ice,Instructor,0.22,Quistis EX,9-023R,7000,Rare,0.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/quistis-ex,Opus IX
Foil,Forward,VIII,4,"EX BURST When Quistis enters the field, reveal the top 5 cards of your deck. Add 1 Category VIII Forward among them to your hand and return the other cards to the bottom of your deck in any order.
LV? Death [S][I][Dull]: Reveal the top card of your deck. Break all Forwards opponent controls with the same cost as the revealed card. Add the revealed card to your hand.",Ice,Instructor,1.21,Quistis EX,9-023R,7000,Rare,1.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/quistis-ex,Opus IX
Normal,Forward,XV,4,"EX BURST When Ravus enters the field, choose 1 Forward opponent controls. Dull it.
When Ravus enters the field, choose 1 Forward opponent controls. If the number of Forwards your opponent controls is greater than the number of Forwards you control, dull it.",Lightning,Captain,0.20,Ravus EX,9-100R,8000,Rare,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ravus-ex,Opus IX
Foil,Forward,XV,4,"EX BURST When Ravus enters the field, choose 1 Forward opponent controls. Dull it.
When Ravus enters the field, choose 1 Forward opponent controls. If the number of Forwards your opponent controls is greater than the number of Forwards you control, dull it.",Lightning,Captain,0.28,Ravus EX,9-100R,8000,Rare,0.48,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ravus-ex,Opus IX
Normal,Backup,VII,3,"EX BURST When Reeve enters the field, you may search for 1 Card Name Vincent or Card Name Cait Sith and add it to your hand.",Lightning,Commissioner,0.15,Reeve EX,9-098C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/reeve-ex,Opus IX
Foil,Backup,VII,3,"EX BURST When Reeve enters the field, you may search for 1 Card Name Vincent or Card Name Cait Sith and add it to your hand.",Lightning,Commissioner,0.74,Reeve EX,9-098C,,Common,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/reeve-ex,Opus IX
Normal,Backup,XV,3,"When Regis enters the field, you may search for 1 Category XV Forward and add it to your hand.",Earth,King,0.15,Regis,9-080C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/regis,Opus IX
Foil,Backup,XV,3,"When Regis enters the field, you may search for 1 Category XV Forward and add it to your hand.",Earth,King,0.87,Regis,9-080C,,Common,1.01,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/regis,Opus IX
Normal,Forward,Type-0,4,"If Rem is dealt damage, reduce the damage by 3000 instead.
At the end of your turn, activate Rem.
[Dull]: Choose 1 Forward other than Rem. Activate it.",Wind,Class Zero Cadet,0.20,Rem (9-059R),9-059R,6000,Rare,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rem-9-059r,Opus IX
Foil,Forward,Type-0,4,"If Rem is dealt damage, reduce the damage by 3000 instead.
At the end of your turn, activate Rem.
[Dull]: Choose 1 Forward other than Rem. Activate it.",Wind,Class Zero Cadet,0.35,Rem (9-059R),9-059R,6000,Rare,0.38,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rem-9-059r,Opus IX
Normal,Backup,Type-0 DFF,2,[Dull]: Choose 1 Job Class Zero Cadet Forward you control. It gains +1000 power until the end of the turn.,Wind,Class Zero Cadet,0.15,Rem (9-060C),9-060C,,Common,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rem-9-060c,Opus IX
Foil,Backup,Type-0 DFF,2,[Dull]: Choose 1 Job Class Zero Cadet Forward you control. It gains +1000 power until the end of the turn.,Wind,Class Zero Cadet,0.30,Rem (9-060C),9-060C,,Common,0.35,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rem-9-060c,Opus IX
Normal,Forward,XIV,2,"You must control a Category XIV Forward to play Rhitahtyn from your hand onto the field.
Brave
Magitek Missile [S][Dull]: Choose 1 Forward. At the end of this turn, if you control Rhitahtyn, deal it 10000 damage.",Fire,Faction Commander,0.16,Rhitahtyn,9-020R,7000,Rare,0.06,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rhitahtyn,Opus IX
Foil,Forward,XIV,2,"You must control a Category XIV Forward to play Rhitahtyn from your hand onto the field.
Brave
Magitek Missile [S][Dull]: Choose 1 Forward. At the end of this turn, if you control Rhitahtyn, deal it 10000 damage.",Fire,Faction Commander,0.62,Rhitahtyn,9-020R,7000,Rare,0.63,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rhitahtyn,Opus IX
Normal,Forward,VIII,2,"When Rinoa or a Category VIII Forward enters your field, select 1 of the 3 following actions. If the Forward is Card Name Squall, select up to 3 of the 3 following actions instead.
""Choose 1 Forward. Dull it."" 
""Choose 1 Forward. Freeze it."" 
""Choose 1 Category VIII Forward. Until the end of the turn, it gains +1000 power and First Strike.""
",Ice,Resistance Fighter,0.26,Rinoa,9-038R,5000,Rare,0.30,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rinoa,Opus IX
Foil,Forward,VIII,2,"When Rinoa or a Category VIII Forward enters your field, select 1 of the 3 following actions. If the Forward is Card Name Squall, select up to 3 of the 3 following actions instead.
""Choose 1 Forward. Dull it."" 
""Choose 1 Forward. Freeze it."" 
""Choose 1 Category VIII Forward. Until the end of the turn, it gains +1000 power and First Strike.""
",Ice,Resistance Fighter,2.85,Rinoa,9-038R,5000,Rare,2.79,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rinoa,Opus IX
Normal,Forward,XII,2,"[Y]: Choose 1 Job Headhunter. During this turn, the next damage it deals to a Forward becomes double the damage instead. You can only use this ability once per turn.",Earth,Headhunter,0.10,Rinok,9-078C,5000,Common,0.05,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rinok,Opus IX
Foil,Forward,XII,2,"[Y]: Choose 1 Job Headhunter. During this turn, the next damage it deals to a Forward becomes double the damage instead. You can only use this ability once per turn.",Earth,Headhunter,0.27,Rinok,9-078C,5000,Common,0.11,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rinok,Opus IX
Normal,Forward,IV,3,"If a Forward you control is dealt damage, reduce the damage by 1000 instead.
When Rosa forms a party and attacks, activate Rosa. Rosa can attack once more this turn.
Pray [S]: Reveal the top card of your deck. If it is a Water card, activate all the Forwards you control.",Water,White Mage,5.00,Rosa,9-120L,7000,Legend,3.63,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rosa,Opus IX
Foil,Forward,IV,3,"If a Forward you control is dealt damage, reduce the damage by 1000 instead.
When Rosa forms a party and attacks, activate Rosa. Rosa can attack once more this turn.
Pray [S]: Reveal the top card of your deck. If it is a Water card, activate all the Forwards you control.",Water,White Mage,8.99,Rosa,9-120L,7000,Legend,7.47,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rosa,Opus IX
Normal,Forward,IV,5,"When Rydia enters the field, look at the top 5 cards of your deck. Reveal 1 Summon other than Light and Dark among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.
[(X)][Dull]: Look at the top X cards of your deck. Reveal 1 Summon of cost X or less among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.",Earth,Summoner,2.50,Rydia,9-077L,4000,Legend,2.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rydia,Opus IX
Foil,Forward,IV,5,"When Rydia enters the field, look at the top 5 cards of your deck. Reveal 1 Summon other than Light and Dark among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.
[(X)][Dull]: Look at the top X cards of your deck. Reveal 1 Summon of cost X or less among them and cast it without paying the cost. Then, shuffle the other cards and return them to the bottom of your deck.",Earth,Summoner,6.25,Rydia,9-077L,4000,Legend,5.70,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/rydia,Opus IX
Normal,Backup,FFTA2,2,"When Sage enters the field, you may pay [(P)]. When you do so, choose 1 Summon in your Break Zone. Add it to your hand.",Lightning,Standard Unit,0.10,Sage,9-090C,,Common,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/sage,Opus IX
Foil,Backup,FFTA2,2,"When Sage enters the field, you may pay [(P)]. When you do so, choose 1 Summon in your Break Zone. Add it to your hand.",Lightning,Standard Unit,0.30,Sage,9-090C,,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/sage,Opus IX
Normal,Backup,XII,7,"When Seeq enters the field, choose 1 Forward opponent controls. Break it.",Lightning,Standard Unit,0.11,Seeq,9-089C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seeq,Opus IX
Foil,Backup,XII,7,"When Seeq enters the field, choose 1 Forward opponent controls. Break it.",Lightning,Standard Unit,0.25,Seeq,9-089C,,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seeq,Opus IX
Normal,Forward,VIII Pictlogica,2,"If you control a Job Witch, Seifer gains +3000 power.",Lightning,SeeD Candidate,0.11,Seifer,9-088C,5000,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seifer,Opus IX
Foil,Forward,VIII Pictlogica,2,"If you control a Job Witch, Seifer gains +3000 power.",Lightning,SeeD Candidate,0.30,Seifer,9-088C,5000,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seifer,Opus IX
Normal,Forward,FFCC,3,"When Selkie attacks, reveal the top card of your deck. If it is a Wind Forward, add it to your hand.",Wind,Standard Unit,0.25,Selkie,9-049R,7000,Rare,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/selkie,Opus IX
Foil,Forward,FFCC,3,"When Selkie attacks, reveal the top card of your deck. If it is a Wind Forward, add it to your hand.",Wind,Standard Unit,0.47,Selkie,9-049R,7000,Rare,0.42,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/selkie,Opus IX
Normal,Forward,FFCC,3,"When Selkie attacks, reveal the top card of your deck. If it is a Wind Forward, add it to your hand.",Wind,Standard Unit,N/A,Selkie (Full Art),9-049R,7000,Rare,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/selkie-full-art,Opus IX
Foil,Forward,FFCC,3,"When Selkie attacks, reveal the top card of your deck. If it is a Wind Forward, add it to your hand.",Wind,Standard Unit,14.50,Selkie (Full Art),9-049R,7000,Rare,12.89,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/selkie-full-art,Opus IX
Normal,Backup,Type-0 DFF,3,"Back Attack
When Seven enters the field, deal 2000 damage to all the Forwards opponent controls.",Wind,Class Zero Cadet,0.11,Seven,9-048C,,Common,0.06,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seven,Opus IX
Foil,Backup,Type-0 DFF,3,"Back Attack
When Seven enters the field, deal 2000 damage to all the Forwards opponent controls.",Wind,Class Zero Cadet,0.40,Seven,9-048C,,Common,0.37,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/seven,Opus IX
Normal,Backup,VI,2,"[R][Dull], put Shadow into the Break Zone: Choose 1 Forward. Deal it 8000 damage. You can only use this ability if a Forward you controlled has been put from the field into the Break Zone this turn.",Fire,Assassin,0.13,Shadow,9-012C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/shadow,Opus IX
Foil,Backup,VI,2,"[R][Dull], put Shadow into the Break Zone: Choose 1 Forward. Deal it 8000 damage. You can only use this ability if a Forward you controlled has been put from the field into the Break Zone this turn.",Fire,Assassin,0.50,Shadow,9-012C,,Common,0.42,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/shadow,Opus IX
Normal,Summon,Mobius,2,"Select 1 of the 3 following actions.
""Choose 1 Backup of cost 3 or more. Return it to its owner's hand.""
""Choose 1 Monster of cost 3 or more. Break it.""
""Activate all the Forwards you control.""
",Wind,,0.35,Shemhazai,9-046H,,Hero,0.29,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/shemhazai,Opus IX
Foil,Summon,Mobius,2,"Select 1 of the 3 following actions.
""Choose 1 Backup of cost 3 or more. Return it to its owner's hand.""
""Choose 1 Monster of cost 3 or more. Break it.""
""Activate all the Forwards you control.""
",Wind,,0.42,Shemhazai,9-046H,,Hero,0.45,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/shemhazai,Opus IX
Normal,Forward,VIII,4,"The cost required to play Squall onto the field is reduced by 1 for each Category VIII Forward you control (it cannot become 0).
When Squall enters the field or attacks, choose 1 Character opponent controls. Dull it.",Ice,SeeD Candidate,0.70,Squall,9-027H,8000,Hero,0.55,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/squall,Opus IX
Foil,Forward,VIII,4,"The cost required to play Squall onto the field is reduced by 1 for each Category VIII Forward you control (it cannot become 0).
When Squall enters the field or attacks, choose 1 Character opponent controls. Dull it.",Ice,SeeD Candidate,1.41,Squall,9-027H,8000,Hero,1.01,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/squall,Opus IX
Normal,Summon,DFF,1,EX BURST All the Forwards you control gain +1000 power until the end of the turn. Draw 1 card.,Wind,,0.13,Sylph EX,9-047C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/sylph-ex,Opus IX
Foil,Summon,DFF,1,EX BURST All the Forwards you control gain +1000 power until the end of the turn. Draw 1 card.,Wind,,0.30,Sylph EX,9-047C,,Common,0.44,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/sylph-ex,Opus IX
Normal,Forward,VI,4,"If a Forward is dealt damage by your Summon, the damage increases by 2000 instead.",Ice,Magitek Knight,0.15,Terra,9-029C,8000,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/terra,Opus IX
Foil,Forward,VI,4,"If a Forward is dealt damage by your Summon, the damage increases by 2000 instead.",Ice,Magitek Knight,0.28,Terra,9-029C,8000,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/terra,Opus IX
Normal,Forward,IV,4,"EX BURST When The Magus Sisters enters the field, you may search for 1 card and put it into the Break Zone.
When The Magus Sisters is put from the field into the Break Zone, you may remove 1 Card Name The Magus Sisters in your Break Zone from the game. When you do so, play The Magus Sisters from your Break Zone onto the field dull.
",Wind,Mage,0.30,The Magus Sisters EX,9-056H,7000,Hero,0.26,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/the-magus-sisters-ex,Opus IX
Foil,Forward,IV,4,"EX BURST When The Magus Sisters enters the field, you may search for 1 card and put it into the Break Zone.
When The Magus Sisters is put from the field into the Break Zone, you may remove 1 Card Name The Magus Sisters in your Break Zone from the game. When you do so, play The Magus Sisters from your Break Zone onto the field dull.
",Wind,Mage,0.95,The Magus Sisters EX,9-056H,7000,Hero,0.95,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/the-magus-sisters-ex,Opus IX
Normal,Monster,Crystal Hunt,2,"During your turn, Tonberry also becomes a Forward with 4000 power.
When Tonberry is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it 1000 damage for every 2 Forwards in your Break Zone.",Earth,Tonberry,0.15,Tonberry,9-069R,4000,Rare,0.11,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/tonberry,Opus IX
Foil,Monster,Crystal Hunt,2,"During your turn, Tonberry also becomes a Forward with 4000 power.
When Tonberry is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it 1000 damage for every 2 Forwards in your Break Zone.",Earth,Tonberry,0.25,Tonberry,9-069R,4000,Rare,0.36,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/tonberry,Opus IX
Normal,Backup,VIII DFF,4,"When Ultimecia enters the field, each player reveals the top card of his/her deck. Each player who revealed a Character may play it onto the field.
[U][U][(2)][Dull], put Ultimecia into the Break Zone: Choose 1 Forward. Put it on the top of its owner's deck.",Water,Witch,0.30,Ultimecia,9-102H,,Hero,0.21,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ultimecia,Opus IX
Foil,Backup,VIII DFF,4,"When Ultimecia enters the field, each player reveals the top card of his/her deck. Each player who revealed a Character may play it onto the field.
[U][U][(2)][Dull], put Ultimecia into the Break Zone: Choose 1 Forward. Put it on the top of its owner's deck.",Water,Witch,0.73,Ultimecia,9-102H,,Hero,1.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ultimecia,Opus IX
Normal,Forward,VI,5,"When Ultros attacks, deal 2000 damage and 1000 more damage for each Card Name Ultros in your Break Zone to all the Forwards opponent controls.
When Ultros is put from the field into the Break Zone, you may pay [U][U]. When you do so, search for 1 Card Name Ultros and play it onto the field dull.",Water,Octopus,2.49,Ultros,9-104L,9000,Legend,2.28,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ultros,Opus IX
Foil,Forward,VI,5,"When Ultros attacks, deal 2000 damage and 1000 more damage for each Card Name Ultros in your Break Zone to all the Forwards opponent controls.
When Ultros is put from the field into the Break Zone, you may pay [U][U]. When you do so, search for 1 Card Name Ultros and play it onto the field dull.",Water,Octopus,5.50,Ultros,9-104L,9000,Legend,5.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/ultros,Opus IX
Normal,Forward,XII DFF,3,You can dull 2 active Job Sky Pirate Forwards you control (instead of paying the CP cost) to play Vaan from your hand onto the field.,Wind,Sky Pirate,0.14,Vaan,9-043R,7000,Rare,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vaan,Opus IX
Foil,Forward,XII DFF,3,You can dull 2 active Job Sky Pirate Forwards you control (instead of paying the CP cost) to play Vaan from your hand onto the field.,Wind,Sky Pirate,0.25,Vaan,9-043R,7000,Rare,0.36,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vaan,Opus IX
Normal,Backup,XIV,3,"When Varis enters the field, if the cost to play Varis was paid with CP of exactly 3 different Elements, you may search for 1 card and add it to your hand.
[(2)][Dull], put Varis into the Break Zone: Choose 1 Category XIV Forward in your Break Zone. Add it to your hand.",Ice,Emperor,0.15,Varis,9-021R,,Rare,0.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/varis,Opus IX
Foil,Backup,XIV,3,"When Varis enters the field, if the cost to play Varis was paid with CP of exactly 3 different Elements, you may search for 1 card and add it to your hand.
[(2)][Dull], put Varis into the Break Zone: Choose 1 Category XIV Forward in your Break Zone. Add it to your hand.",Ice,Emperor,0.45,Varis,9-021R,,Rare,0.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/varis,Opus IX
Normal,Forward,XII DFF,5,"All the Forwards opponent controls gain ""At the end of your turn, if you don't pay (1), break this Forward.""",Ice,Consul,3.91,Vayne,9-022L,9000,Legend,3.33,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vayne,Opus IX
Foil,Forward,XII DFF,5,"All the Forwards opponent controls gain ""At the end of your turn, if you don't pay (1), break this Forward.""",Ice,Consul,8.50,Vayne,9-022L,9000,Legend,7.71,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vayne,Opus IX
Normal,Backup,XII,2,"When Viera enters the field, you may pay [G]. When you do so, deal 3000 damage to all the Forwards opponent controls.
",Wind,Standard Unit,0.15,Viera,9-044C,,Common,0.06,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/viera,Opus IX
Foil,Backup,XII,2,"When Viera enters the field, you may pay [G]. When you do so, deal 3000 damage to all the Forwards opponent controls.
",Wind,Standard Unit,0.41,Viera,9-044C,,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/viera,Opus IX
Normal,Forward,VII,3,"When Vincent enters the field, you may put 1 Backup you control into the Break Zone. When you do so, choose 1 dull Forward. Deal it 8000 damage.
Zoom [S][Y][(1)][Dull]: Choose 1 Backup of cost 3 or more.",Earth,Gunslinger,0.25,Vincent,9-062H,7000,Hero,0.26,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vincent,Opus IX
Foil,Forward,VII,3,"When Vincent enters the field, you may put 1 Backup you control into the Break Zone. When you do so, choose 1 dull Forward. Deal it 8000 damage.
Zoom [S][Y][(1)][Dull]: Choose 1 Backup of cost 3 or more.",Earth,Gunslinger,1.21,Vincent,9-062H,7000,Hero,1.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/vincent,Opus IX
Normal,Backup,FFTA2,2,"When White Mage enters the field, you may pay [U]. When you do so, draw 1 card.",Water,Standard Unit,0.14,White Mage,9-108C,,Common,0.08,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/white-mage,Opus IX
Foil,Backup,FFTA2,2,"When White Mage enters the field, you may pay [U]. When you do so, draw 1 card.",Water,Standard Unit,0.35,White Mage,9-108C,,Common,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/white-mage,Opus IX
Normal,Forward,Mobius,4,"You can only play with Fire CP, Wind CP, Earth CP or Water CP and you must use CP of 2 or more different Elements to play Wol onto the field.
When Wol is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it 9000 damage.",Light,Warrior of Light,1.17,Wol,9-121L,9000,Legend,1.20,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/wol,Opus IX
Foil,Forward,Mobius,4,"You can only play with Fire CP, Wind CP, Earth CP or Water CP and you must use CP of 2 or more different Elements to play Wol onto the field.
When Wol is put from the field into the Break Zone, choose 1 Forward opponent controls. Deal it 9000 damage.",Light,Warrior of Light,1.90,Wol,9-121L,9000,Legend,1.52,https://shop.tcgplayer.com/final-fantasy-tcg/opus-ix/wol,Opus IX
